Incident_ID,schoolaffiliation,age_cat,shooterdied
19730405CALOL,Student,,No
19730501OHRAY,Student,Teen,No
19730928CAWIL,Student,Teen,No
19731002ILELA,Student,Teen,Yes
19731019MOBES,Student,Teen,No
19731023MOSUS,Unknown,Teen,No
19731023MOSUS,Unknown,Teen,No
19731023OHBAB,Student,Teen,No
19731024MNCEM,Student,Teen,No
19731031MONOS,No Relation,Teen,No
19731108ILWOC,Student,Teen,No
19731109CALOL,Unknown,Teen,No
19731206CAFRL,Student,,No
19731213OHHUC,Student,Teen,No
19740117ILBAC,Former Student,Teen,No
19740122CALOL,No Relation,Teen,No
19740207CAJAO,No Relation,Adult,No
19740322INBRB,Student,Teen,No
19740402CTSTB,Unknown,,No
19740510TNCHR,Student,Teen,No
19740519FLHIO,Intimate Relationship,Adult,No
19740923CAJED,Student,Teen,No
19740923CAJED,Student,Teen,No
19740923CAJED,Student,Teen,No
19740925CASAL,Student,Teen,No
19741007LADEH,Student,Teen,No
19741021MDDOB,No Relation,Teen,No
19741118SCCAC,No Relation,,No
19741121ARBOL,Student,Teen,No
19741125SCCAC,Student,Teen,No
19741125SCCAC,Student,Teen,No
19741218CAMAL,No Relation,Teen,No
19741230NYOLO,Student,Teen,No
19750207NYBOM,Student,Teen,No
19750224NJSTP,Former Student,Adult,No
19750312TXJOH,Student,Teen,No
19750318MOSUS,Unknown,Teen,No
19750321OHPAD,No Relation,Teen,No
19750321VAFAR,No Relation,Teen,No
19750515MOROS,Student,Teen,No
19750527MIPID,Student,Child,No
19750709ILDEC,Intimate Relationship,Adult,No
19750711MOCES,Student,Teen,No
19750911OKGRO,Student,Teen,No
19751001NMHEA,Unknown,Adult,No
19751024GAMUA,Student,Teen,No
19751218CAORS,Student,Teen,No
19760101AZCAP,Unknown,,No
19760123OHCOC,Student,Teen,No
19760206FLESP,Unknown,,No
19760212MIMUD,Other Student,Teen,No
19760212MIMUD,Other Student,Teen,No
19760212MIMUD,Other Student,Teen,No
19760212MIMUD,Other Student,Teen,No
19760212MIMUD,Other Student,Teen,No
19760212MIMUD,Other Student,Teen,No
19760412TXODF,Student,Teen,No
19760513MOMAS,Student,Teen,No
19760514FLPAW,Former Student,Teen,No
19760602MDMTC,Unknown,,No
19760920NCGUG,No Relation,Adult,Yes
19761110MIBUD,Intimate Relationship,Adult,No
19761210MOFRS,Student,Child,No
19770113ILOLB,Student,Teen,No
19770209ILFEC,Student,Teen,No
19770228MOROS,Student,Teen,No
19770228TXHOA,Student,Teen,No
19770308ILCOE,Student,Teen,No
19770321NYPAH,Other Staff,Teen,No
19770407TXWHW,Student,Teen,No
19770418TNPIN,Unknown,Adult,No
19770517FLSTC,No Relation,Adult,No
19770622ILHOC,Unknown,Teen,No
19770711COSOC,Student,Teen,No
19771129MOHAS,Former Student,Teen,No
19771129MOVAS,Student,Teen,No
19771209CAPES,Intimate Relationship,Adult,No
19771212FLWEW,Other Staff,Adult,No
19771215MABLC,Unknown,,No
19780111KYCHH,Student,Teen,No
19780209WVHAS,Student,Teen,No
19780222MIEVL,Student,Teen,No
19780309CAMOS,No Relation,Teen,No
19780329TNGAN,Other Staff,Adult,No
19780414MIFOD,Student,Teen,No
19780426TXPAD,Relative,Adult,No
19780428ILRIN,Student,Teen,No
19780518TXMUA,Student,Teen,No
19780519PADOP,Unknown,,No
19780607DEDOD,Student,Teen,No
19780610MAWEW,Student,Teen,No
19781017ALLAL,Student,Teen,No
19781017MOUNU,Former Student,Teen,No
19781129NYPAN,Student,Teen,No
19781214CTWIN,No Relation,Teen,No
19790129CAGRS,No Relation,Teen,No
19790314FLMCM,Unknown,Teen,No
19790328CALOL,Unknown,Teen,No
19790416WIWIM,Other Staff,Adult,No
19790425PAMAH,Unknown,,No
19790426TXAZA,Student,Teen,No
19790614OHNEN,Unknown,Teen,No
19790926LACAN,Student,Teen,No
19790926LACAN,Student,Teen,No
19790928MACHC,Unknown,Teen,No
19790928MACHC,Unknown,Teen,No
19791023MOOFS,Student,Teen,No
19791105INWAI,Student,Teen,No
19791130TXUNL,Student,Teen,No
19791203MDEAB,Student,Teen,No
19791203MDEAB,Student,Teen,No
19791203MDEAB,Student,Teen,No
19791203MDEAB,Student,Teen,No
19791221MOBLS,Student,Teen,No
19800107ARSTS,Student,Teen,No
19800129VALAW,Student,Teen,No
19800201DCLAW,Student,Child,No
19800207TXVAL,Student,Child,No
19800211INARI,Student,Teen,No
19800211INARI,Student,Teen,No
19800215MSHUM,Intimate Relationship,Adult,No
19800320TXJLD,Unknown,Adult,No
19800331MDFRB,Former Student,Teen,No
19800417VACAC,Intimate Relationship,Adult,No
19800530NYCLB,Student,Teen,No
19800902CAWHL,No Relation,Teen,No
19800908FLFOJ,Student,Teen,No
